Time (sec),Ti575 Flash Thickness,Ti64 Flash Thickness,,Time (sec),Oscillation stroke 
,,,,0.798,1.583969
,,,,0.799,1.829595
,,,,0.8,1.887095
,,,,0.801,1.779565
,,,,0.802,1.574937
,,,,0.803,1.301803
,,,,0.804,0.909174
,,,,0.805,0.414528
,,,,0.806,-0.10172
,,,,0.807,-0.63795
,,,,0.808,-1.13876
,,,,0.809,-1.5534
,,,,0.81,-1.87393
,,,,0.811,-2.00274
,,,,0.812,-1.9319
,,,,0.813,-1.73569
,,,,0.814,-1.39496
,,,,0.815,-0.95916
,,,,0.816,-0.45401
,,,,0.817,0.110858
,,,,0.818,0.655427
,,,,0.819,1.127986
,,,,0.82,1.509968
,,,,0.821,1.775595
,,,,0.822,1.886397
,,,,0.823,1.83828
,,,,0.824,1.643168
,,,,0.825,1.376399
,,,,0.826,1.037614
,,,,0.827,0.588876
,,,,0.828,0.074229
,,,,0.829,-0.48086
,,,,0.83,-0.98758
,,,,0.831,-1.42421
,,,,0.832,-1.79402
,,,,0.833,-1.97773
,,,,0.834,-1.9525
,,,,0.835,-1.77817
,,,,0.836,-1.47087
,,,,0.837,-1.04488
,,,,0.838,-0.55985
,,,,0.839,-0.00611
,,,,0.84,0.538147
,,,,0.841,1.038918
,,,,0.842,1.472046
,,,,0.843,1.73272
,,,,0.844,1.882413
,,,,0.845,1.854362
,,,,0.846,1.677075
,,,,0.847,1.429061
,,,,0.848,1.080709
,,,,0.849,0.641756
,,,,0.85,0.147579
,,,,0.851,-0.42975
,,,,0.852,-0.94299
,,,,0.853,-1.40354
,,,,0.854,-1.77899
,,,,0.855,-2.00356
,,,,0.856,-2.003
,,,,0.857,-1.83323
,,,,0.858,-1.53446
,,,,0.859,-1.14775
,,,,0.86,-0.66076
,,,,0.861,-0.10261
,,,,0.862,0.451845
,,,,0.863,0.962756
,,,,0.864,1.393789
,,,,0.865,1.711353
,,,,0.866,1.893698
,,,,0.867,1.867353
,,,,0.868,1.717931
,,,,0.869,1.491076
,,,,0.87,1.180955
,,,,0.871,0.765739
,,,,0.872,0.250713
,,,,0.873,-0.27526
,,,,0.874,-0.79668
,,,,0.875,-1.29063
,,,,0.876,-1.68273
,,,,0.877,-1.9537
,,,,0.878,-2.00317
,,,,0.879,-1.86996
,,,,0.88,-1.60726
,,,,0.881,-1.23458
,,,,0.882,-0.76861
,,,,0.883,-0.24174
,,,,0.884,0.321487
,,,,0.885,0.866477
,,,,0.886,1.296492
,,,,0.887,1.644126
,,,,0.888,1.857359
,,,,0.889,1.917389
,,,,0.89,1.775759
,,,,0.891,1.55474
,,,,0.892,1.275669
,,,,0.893,0.883094
,,,,0.894,0.373148
,,,,0.895,-0.15945
,,,,0.896,-0.69622
,,,,0.897,-1.20566
,,,,0.898,-1.62493
,,,,0.899,-1.93899
,,,,0.9,-2.03434
,,,,0.901,-1.92659
,,,,0.902,-1.70189
,,,,0.903,-1.34479
,,,,0.904,-0.86224
,,,,0.905,-0.35793
,,,,0.906,0.20349
,,,,0.907,0.766646
,,,,0.908,1.253136
,,,,0.909,1.61344
,,,,0.91,1.851101
,,,,0.911,1.938559
,,,,0.912,1.835109
,,,,0.913,1.612727
,,,,0.914,1.35365
,,,,0.915,0.972279
,,,,0.916,0.477004
,,,,0.917,-0.04627
,,,,0.918,-0.60862
,,,,0.919,-1.1171
,,,,0.92,-1.55391
,,,,0.921,-1.89539
,,,,0.922,-2.03949
,,,,0.923,-1.96976
,,,,0.924,-1.7502
,,,,0.925,-1.42037
,,,,0.926,-0.98206
,,,,0.927,-0.48445
,,,,0.928,0.08479
,,,,0.929,0.619883
,,,,0.93,1.117596
,,,,0.931,1.542318
,,,,0.932,1.804919
,,,,0.933,1.925843
,,,,0.934,1.873198
,,,,0.935,1.678034
,,,,0.936,1.415853
,,,,0.937,1.062686
,,,,0.938,0.594501
,,,,0.939,0.082655
,,,,0.94,-0.47929
,,,,0.941,-1.00465
,,,,0.942,-1.47039
,,,,0.943,-1.83151
,,,,0.944,-2.02713
,,,,0.945,-2.00078
,,,,0.946,-1.82128
,,,,0.947,-1.49565
,,,,0.948,-1.09323
,,,,0.949,-0.60852
,,,,0.95,-0.04117
,,,,0.951,0.499963
,,,,0.952,1.03015
,,,,0.953,1.458035
,,,,0.954,1.750549
,,,,0.955,1.921748
,,,,0.956,1.875646
,,,,0.957,1.710677
,,,,0.958,1.489184
,,,,0.959,1.157537
,,,,0.96,0.723185
,,,,0.961,0.20826
,,,,0.962,-0.32035
,,,,0.963,-0.84365
,,,,0.964,-1.33417
,,,,0.965,-1.70518
,,,,0.966,-1.93508
,,,,0.967,-1.95014
,,,,0.968,-1.80274
,,,,0.969,-1.53212
,,,,0.97,-1.15594
,,,,0.971,-0.69234
,,,,0.972,-0.16586
,,,,0.973,0.384201
,,,,0.974,0.923028
,,,,0.975,1.36869
,,,,0.976,1.689252
,,,,0.977,1.896122
,,,,0.978,1.932783
,,,,0.979,1.76676
,,,,0.98,1.541157
,,,,0.981,1.248735
,,,,0.982,0.841375
,,,,0.983,0.313146
,,,,0.984,-0.2257
,,,,0.985,-0.77956
,,,,0.986,-1.27481
,,,,0.987,-1.69099
,,,,0.988,-1.99462
,,,,0.989,-2.04668
,,,,0.99,-1.92916
,,,,0.991,-1.67213
,,,,0.992,-1.31638
,,,,0.993,-0.82214
,,,,0.994,-0.29315
,,,,0.995,0.261492
,,,,0.996,0.833441
,,,,0.997,1.320549
,,,,0.998,1.687729
,,,,0.999,1.90384
,,,,1,1.970742
,,,,1.001,1.857319
,,,,1.002,1.636163
,,,,1.003,1.327157
,,,,1.004,0.940797
,,,,1.005,0.456961
,,,,1.006,-0.0714
